movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,889273人评价
霸王别姬,2,9.5,640025人评价
这个杀手不太冷,3,9.4,848446人评价
阿甘正传,4,9.4,722528人评价
美丽人生,5,9.5,421678人评价
千与千寻,6,9.2,673661人评价
辛德勒的名单,7,9.4,388387人评价
泰坦尼克号,8,9.2,664509人评价
盗梦空间,9,9.2,774115人评价
机器人总动员,10,9.3,505451人评价
海上钢琴师,11,9.2,606298人评价
三傻大闹宝莱坞,12,9.1,683791人评价
忠犬八公的故事,13,9.2,463115人评价
放牛班的春天,14,9.2,459264人评价
大话西游之大圣娶亲,15,9.2,496029人评价
龙猫,16,9.1,424617人评价
教父,17,9.2,348411人评价
楚门的世界,18,9.1,462992人评价
乱世佳人,19,9.2,274477人评价
天堂电影院,20,9.1,313116人评价
触不可及,21,9.1,370968人评价
当幸福来敲门,22,8.9,545838人评价
熔炉,23,9.2,258047人评价
无间道,24,9.0,405526人评价
搏击俱乐部,25,9.0,408074人评价
十二怒汉,26,9.4,173610人评价
怦然心动,27,8.9,555022人评价
星际穿越,28,9.1,491831人评价
指环王3：王者无敌,29,9.1,287813人评价
少年派的奇幻漂流,30,9.0,584797人评价
天空之城,31,9.0,336308人评价
鬼子来了,32,9.2,231264人评价
蝙蝠侠：黑暗骑士,33,9.0,324739人评价
罗马假日,34,8.9,389348人评价
活着,35,9.1,269985人评价
大话西游之月光宝盒,36,8.9,400822人评价
两杆大烟枪,37,9.0,275651人评价
飞屋环游记,38,8.9,501794人评价
窃听风暴,39,9.1,224670人评价
飞越疯人院,40,9.0,279463人评价
海豚湾,41,9.3,182734人评价
闻香识女人,42,8.9,323544人评价
V字仇杀队,43,8.8,418355人评价
哈尔的移动城堡,44,8.9,350780人评价
教父2,45,9.1,187578人评价
美丽心灵,46,8.9,305960人评价
控方证人,47,9.6,87988人评价
指环王2：双塔奇兵,48,8.9,271520人评价
指环王1：魔戒再现,49,8.9,303400人评价
死亡诗社,50,8.9,278419人评价
情书,51,8.8,375405人评价
天使爱美丽,52,8.7,482852人评价
辩护人,53,9.1,203016人评价
美国往事,54,9.1,174763人评价
饮食男女,55,9.0,196882人评价
钢琴家,56,9.0,202948人评价
狮子王,57,8.9,281282人评价
七宗罪,58,8.7,435185人评价
致命魔术,59,8.8,342819人评价
被嫌弃的松子的一生,60,8.9,281493人评价
疯狂动物城,61,9.2,494709人评价
小鞋子,62,9.2,136228人评价
勇敢的心,63,8.8,295049人评价
剪刀手爱德华,64,8.7,482696人评价
音乐之声,65,8.9,231255人评价
低俗小说,66,8.7,332920人评价
素媛,67,9.1,175540人评价
本杰明·巴顿奇事,68,8.7,391679人评价
入殓师,69,8.8,317700人评价
沉默的羔羊,70,8.7,351451人评价
黑客帝国,71,8.8,279006人评价
拯救大兵瑞恩,72,8.8,235788人评价
西西里的美丽传说,73,8.7,344590人评价
玛丽和马克思,74,8.9,231527人评价
蝴蝶效应,75,8.7,379221人评价
心灵捕手,76,8.7,268091人评价
春光乍泄,77,8.8,243186人评价
让子弹飞,78,8.7,617644人评价
幽灵公主,79,8.8,232614人评价
第六感,80,8.8,232787人评价
大闹天宫,81,9.2,97118人评价
阳光灿烂的日子,82,8.7,267477人评价
大鱼,83,8.7,249740人评价
重庆森林,84,8.6,325673人评价
射雕英雄传之东成西就,85,8.7,272801人评价
禁闭岛,86,8.6,354719人评价
甜蜜蜜,87,8.7,230133人评价
阳光姐妹淘,88,8.8,265095人评价
上帝之城,89,8.9,156696人评价
致命ID,90,8.6,314223人评价
一一,91,8.9,153797人评价
狩猎,92,9.0,124643人评价
告白,93,8.7,337747人评价
布达佩斯大饭店,94,8.7,302913人评价
末代皇帝,95,8.9,160865人评价
加勒比海盗,96,8.6,338412人评价
断背山,97,8.6,313810人评价
爱在黎明破晓前,98,8.7,216496人评价
摩登时代,99,9.2,86328人评价
阿凡达,100,8.6,521486人评价
猫鼠游戏,101,8.7,218153人评价
哈利·波特与魔法石,102,8.7,247539人评价
风之谷,103,8.8,173406人评价
爱在日落黄昏时,104,8.7,195360人评价
侧耳倾听,105,8.8,164908人评价
穿条纹睡衣的男孩,106,8.9,139247人评价
萤火虫之墓,107,8.7,200614人评价
消失的爱人,108,8.7,345645人评价
超脱,109,8.8,169085人评价
驯龙高手,110,8.7,279277人评价
幸福终点站,111,8.6,221477人评价
菊次郎的夏天,112,8.7,177356人评价
倩女幽魂,113,8.6,243288人评价
海洋,114,9.0,97981人评价
恐怖直播,115,8.7,212268人评价
七武士,116,9.2,75672人评价
岁月神偷,117,8.6,302133人评价
神偷奶爸,118,8.5,366208人评价
红辣椒,119,8.9,128411人评价
电锯惊魂,120,8.7,195082人评价
借东西的小人阿莉埃蒂,121,8.7,211867人评价
谍影重重3,122,8.7,177159人评价
燃情岁月,123,8.8,146857人评价
杀人回忆,124,8.6,204734人评价
真爱至上,125,8.5,302446人评价
雨人,126,8.6,206255人评价
贫民窟的百万富翁,127,8.5,389563人评价
看不见的客人,128,8.7,229397人评价
记忆碎片,129,8.5,273438人评价
东邪西毒,130,8.6,244128人评价
虎口脱险,131,8.9,105049人评价
怪兽电力公司,132,8.6,232965人评价
疯狂原始人,133,8.7,362393人评价
喜宴,134,8.8,135074人评价
小森林 夏秋篇,135,8.9,123247人评价
卢旺达饭店,136,8.8,116220人评价
黑天鹅,137,8.5,407914人评价
喜剧之王,138,8.5,301466人评价
英雄本色,139,8.7,145770人评价
穿越时空的少女,140,8.6,181345人评价
魂断蓝桥,141,8.8,126755人评价
猜火车,142,8.5,244075人评价
恋恋笔记本,143,8.5,273823人评价
雨中曲,144,8.9,91090人评价
傲慢与偏见,145,8.4,292966人评价
教父3,146,8.7,125860人评价
完美的世界,147,9.0,77011人评价
纵横四海,148,8.7,139145人评价
萤火之森,149,8.7,151080人评价
玩具总动员3,150,8.7,187357人评价
7号房的礼物,151,8.7,167312人评价
哈利·波特与死亡圣器(下),152,8.6,265299人评价
二十二,153,8.8,80958人评价
花样年华,154,8.5,238855人评价
人工智能,155,8.6,184835人评价
我是山姆,156,8.8,99462人评价
浪潮,157,8.7,127978人评价
